date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:10	56528/56528	---M--	200	added ('OK')	image/gif	etag:%223ae1cb-dcd0-3646fbd682b00%22	http://users.fuw.edu.pl/~michalj/palmos/images/EventLoopa.gif	users.fuw.edu.pl/_michalj/palmos/images/EventLoopa.gif	(from http://users.fuw.edu.pl/~michalj/palmos/EventLoop.html)
14:10:10	16747/16747	---M--	200	added ('OK')	image/gif	etag:%2249a4d7-416b-3646fbd86af80%22	http://users.fuw.edu.pl/~michalj/palmos/images/SliderDrawing.gif	users.fuw.edu.pl/_michalj/palmos/images/SliderDrawing.gif	(from http://users.fuw.edu.pl/~michalj/palmos/UserInterface.html)
14:10:11	8202/8202	---M--	200	added ('OK')	image/gif	etag:%2249a4dd-200a-3646fbda53400%22	http://users.fuw.edu.pl/~michalj/palmos/images/UserInterface17.gif	users.fuw.edu.pl/_michalj/palmos/images/UserInterface17.gif	(from http://users.fuw.edu.pl/~michalj/palmos/UserInterface.html)
14:10:11	226/226	---M--	200	added ('OK')	image/gif	etag:%2249a4da-e2-3646fbd86af80%22	http://users.fuw.edu.pl/~michalj/palmos/images/Toolbar.gif	users.fuw.edu.pl/_michalj/palmos/images/Toolbar.gif	(from http://users.fuw.edu.pl/~michalj/palmos/UserInterface.html)
14:10:11	6818/6818	---M--	200	added ('OK')	image/gif	etag:%2249a4de-1aa2-3646fbda53400%22	http://users.fuw.edu.pl/~michalj/palmos/images/UserInterface18.gif	users.fuw.edu.pl/_michalj/palmos/images/UserInterface18.gif	(from http://users.fuw.edu.pl/~michalj/palmos/UserInterface.html)
14:10:12	15777/15777	---M--	200	added ('OK')	image/gif	etag:%2249a4df-3da1-3646fbda53400%22	http://users.fuw.edu.pl/~michalj/palmos/images/UserInterface19.gif	users.fuw.edu.pl/_michalj/palmos/images/UserInterface19.gif	(from http://users.fuw.edu.pl/~michalj/palmos/UserInterface.html)
14:10:12	315/315	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2017%20Feb%202015%2019:10:06%20GMT	http://users.fuw.edu.pl/~michalj/palmos/images/lt_equal.gif	users.fuw.edu.pl/_michalj/palmos/images/lt_equal.83.delayed	(from http://users.fuw.edu.pl/~michalj/palmos/Memory.html)
14:10:12	9440/9440	---M--	200	added ('OK')	image/gif	etag:%223ae1ce-24e0-3646fbd682b00%22	http://users.fuw.edu.pl/~michalj/palmos/images/FilesAndDatabasesa.gif	users.fuw.edu.pl/_michalj/palmos/images/FilesAndDatabasesa.gif	(from http://users.fuw.edu.pl/~michalj/palmos/FilesAndDatabases.html)
14:10:16	39807/39807	---M--	200	added ('OK')	image/gif	etag:%2249a4d5-9b7f-3646fbd86af80%22	http://users.fuw.edu.pl/~michalj/palmos/images/SerialCommunicationa.gif	users.fuw.edu.pl/_michalj/palmos/images/SerialCommunicationa.gif	(from http://users.fuw.edu.pl/~michalj/palmos/SerialCommunication.html)
14:10:16	11340/11340	---M--	200	added ('OK')	image/gif	etag:%223ae1c0-2c4c-3646fbd49a680%22	http://users.fuw.edu.pl/~michalj/palmos/images/Beaminga.gif	users.fuw.edu.pl/_michalj/palmos/images/Beaminga.gif	(from http://users.fuw.edu.pl/~michalj/palmos/Beaming.html)
14:10:16	24211/24211	---M--	200	added ('OK')	image/gif	etag:%222f869f-5e93-3646fbd86af80%22	http://users.fuw.edu.pl/~michalj/palmos/images/SerialCommunication2.gif	users.fuw.edu.pl/_michalj/palmos/images/SerialCommunication2.gif	(from http://users.fuw.edu.pl/~michalj/palmos/SerialCommunication.html)
14:10:16	3606/3606	---M--	200	added ('OK')	image/gif	etag:%222f8694-e16-3646fbd86af80%22	http://users.fuw.edu.pl/~michalj/palmos/images/Palmnet.gif	users.fuw.edu.pl/_michalj/palmos/images/Palmnet.gif	(from http://users.fuw.edu.pl/~michalj/palmos/InternetApps.html)
14:10:17	27258/27258	---M--	200	added ('OK')	image/gif	etag:%222f86a0-6a7a-3646fbd86af80%22	http://users.fuw.edu.pl/~michalj/palmos/images/SerialCommunication3.gif	users.fuw.edu.pl/_michalj/palmos/images/SerialCommunication3.gif	(from http://users.fuw.edu.pl/~michalj/palmos/SerialCommunication.html)
14:10:17	5721/5721	---M--	200	added ('OK')	image/gif	etag:%222f868f-1659-3646fbd682b00%22	http://users.fuw.edu.pl/~michalj/palmos/images/InternetApps2.gif	users.fuw.edu.pl/_michalj/palmos/images/InternetApps2.gif	(from http://users.fuw.edu.pl/~michalj/palmos/InternetApps.html)
14:10:17	7728/7728	---M--	200	added ('OK')	image/gif	etag:%222f8691-1e30-3646fbd682b00%22	http://users.fuw.edu.pl/~michalj/palmos/images/Localizationa.gif	users.fuw.edu.pl/_michalj/palmos/images/Localizationa.gif	(from http://users.fuw.edu.pl/~michalj/palmos/Localization.html)
