date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:51	4440/4440	---M--	200	added ('OK')	application/zip	etag:%221158-4f5b7a9e52520%22	http://mobile.eric-poncet.com/palm/exercises/hello.zip	mobile.eric-poncet.com/palm/exercises/hello.zip	(from http://mobile.eric-poncet.com/palm/tutorial/hello.html)
16:55:51	4336/4336	---M--	200	added ('OK')	application/zip	etag:%2210f0-4f5b7b0de8575%22	http://mobile.eric-poncet.com/palm/solutions/hello.zip	mobile.eric-poncet.com/palm/solutions/hello.zip	(from http://mobile.eric-poncet.com/palm/tutorial/hello.html)
16:55:51	27149/27149	---M-Z	200	added ('OK')	text/html	etag:%226a0d-4f5cb38bc5cb9-gzip%22	http://mobile.eric-poncet.com/palm/tutorial/	mobile.eric-poncet.com/palm/tutorial/index.html	(from http://mobile.eric-poncet.com/palm/tutorial/hello.html)
16:55:51	6769/6769	---M--	200	added ('OK')	application/zip	etag:%221a71-4f5b7a9da043d%22	http://mobile.eric-poncet.com/palm/exercises/forms.zip	mobile.eric-poncet.com/palm/exercises/forms.zip	(from http://mobile.eric-poncet.com/palm/tutorial/forms.html)
16:55:52	7081/7081	---M--	200	added ('OK')	application/zip	etag:%221ba9-4f5b7b0d35cab%22	http://mobile.eric-poncet.com/palm/solutions/forms.zip	mobile.eric-poncet.com/palm/solutions/forms.zip	(from http://mobile.eric-poncet.com/palm/tutorial/forms.html)
16:55:52	2537/2537	---M--	200	added ('OK')	image/gif	etag:%229e9-4f5b7aea4a0b8%22	http://mobile.eric-poncet.com/palm/screens/forms2.gif	mobile.eric-poncet.com/palm/screens/forms2.gif	(from http://mobile.eric-poncet.com/palm/tutorial/forms.html)
16:55:52	2350/2350	---M--	200	added ('OK')	image/gif	etag:%2292e-4f5b7aeae6b0b%22	http://mobile.eric-poncet.com/palm/screens/forms3.gif	mobile.eric-poncet.com/palm/screens/forms3.gif	(from http://mobile.eric-poncet.com/palm/tutorial/forms.html)
16:55:53	2096/2096	---M--	200	added ('OK')	image/gif	etag:%22830-4f5b7aeb820fc%22	http://mobile.eric-poncet.com/palm/screens/forms4.gif	mobile.eric-poncet.com/palm/screens/forms4.gif	(from http://mobile.eric-poncet.com/palm/tutorial/forms.html)
16:55:53	7662/7662	---M--	200	added ('OK')	application/zip	etag:%221dee-4f5b7a9fd9eb4%22	http://mobile.eric-poncet.com/palm/exercises/menu.zip	mobile.eric-poncet.com/palm/exercises/menu.zip	(from http://mobile.eric-poncet.com/palm/tutorial/menu.html)
16:55:53	7825/7825	---M--	200	added ('OK')	application/zip	etag:%221e91-4f5b7b0f7f0f9%22	http://mobile.eric-poncet.com/palm/solutions/menu.zip	mobile.eric-poncet.com/palm/solutions/menu.zip	(from http://mobile.eric-poncet.com/palm/tutorial/menu.html)
16:55:54	2179/2179	---M--	200	added ('OK')	image/gif	etag:%22883-4f5b7aefe0afd%22	http://mobile.eric-poncet.com/palm/screens/menu2.gif	mobile.eric-poncet.com/palm/screens/menu2.gif	(from http://mobile.eric-poncet.com/palm/tutorial/menu.html)
16:55:54	2189/2189	---M--	200	added ('OK')	image/gif	etag:%2288d-4f5b7af07d0d5%22	http://mobile.eric-poncet.com/palm/screens/menu3.gif	mobile.eric-poncet.com/palm/screens/menu3.gif	(from http://mobile.eric-poncet.com/palm/tutorial/menu.html)
16:55:54	2022/2022	---M--	200	added ('OK')	image/gif	etag:%227e6-4f5b7af12949f%22	http://mobile.eric-poncet.com/palm/screens/menu4.gif	mobile.eric-poncet.com/palm/screens/menu4.gif	(from http://mobile.eric-poncet.com/palm/tutorial/menu.html)
16:55:55	7151/7151	---M--	200	added ('OK')	application/zip	etag:%221bef-4f5b7aa08eb76%22	http://mobile.eric-poncet.com/palm/exercises/prefs.zip	mobile.eric-poncet.com/palm/exercises/prefs.zip	(from http://mobile.eric-poncet.com/palm/tutorial/prefs.html)
16:55:55	7403/7403	---M--	200	added ('OK')	application/zip	etag:%221ceb-4f5b7b104d78d%22	http://mobile.eric-poncet.com/palm/solutions/prefs.zip	mobile.eric-poncet.com/palm/solutions/prefs.zip	(from http://mobile.eric-poncet.com/palm/tutorial/prefs.html)
16:55:55	10626/10626	---M--	200	added ('OK')	application/zip	etag:%222982-4f5b7a9c20bb2%22	http://mobile.eric-poncet.com/palm/exercises/db.zip	mobile.eric-poncet.com/palm/exercises/db.zip	(from http://mobile.eric-poncet.com/palm/tutorial/db.html)
16:55:56	2070/2070	---M--	200	added ('OK')	image/gif	etag:%22816-4f5b7afef1978%22	http://mobile.eric-poncet.com/palm/screens/ui.gif	mobile.eric-poncet.com/palm/screens/ui.gif	(from http://mobile.eric-poncet.com/palm/tutorial/ui.html)
16:55:56	10834/10834	---M--	200	added ('OK')	application/zip	etag:%222a52-4f5b7b0bca428%22	http://mobile.eric-poncet.com/palm/solutions/db.zip	mobile.eric-poncet.com/palm/solutions/db.zip	(from http://mobile.eric-poncet.com/palm/tutorial/db.html)
